c_id,country,continent,year,pets_per_thou,lifeexp,population,gdp_per_cap,trans_deaths,resp_deaths,ext_deaths,total_perthou
11,Canada,Americas,1997,      75,78.610001,30305843,     28955,3288,20036, 13049,497.200012207031
11,Canada,Americas,2002,      20,79.769997,31902268,     33329,3129,17761, 13835,450.100006103516
11,Canada,Americas,2007,      14,80.653,33390141,     36319,3077,20518, 14949,407.899993896484
12,Chile,Americas,1982,      45,70.565002,11487112,      5096,1398,5923,  8549,823.9
12,Chile,Americas,1987,      37,72.491997,12463354,      5547,1024,7902,  8404,763.799987792969
12,Chile,Americas,1992,      49,74.125999,13572994,      7596,1647,8206,  8864,683.900024414063
12,Chile,Americas,1997,      10,75.816002,14599929,     10118,1873,9986,  8280,581.799987792969
12,Chile,Americas,2002,      73,77.860001,15497046,     10779,2021,7688,  7319,513.599975585938
12,Chile,Americas,2007,       4,78.553001,16284741,     13172,2159,9103,  7657,476.700012207031
13,Colombia,Americas,1982,      17,66.653,27764644,      4398, , , , 
13,Colombia,Americas,1987,      29,67.767998,30964245,      4903,4462,12722, 32179,610
13,Colombia,Americas,1992,      67,68.420998,34202721,      5445,5323,12629, 44395,741.5
13,Colombia,Americas,1997,      76,70.313004,37657830,      6117,7187,15112, 40992,639.200012207031
13,Colombia,Americas,2002,      80,71.681999,41008227,      5755,7017,15573, 48320,624.299987792969
13,Colombia,Americas,2007,      70,72.889,44227550,      7007,6583,19321, 32469,557.599975585938
14,Costa Rica,Americas,1982,       5,73.449997,2424367,      5263,326,819,   969,716.9
14,Costa Rica,Americas,1987,      39,74.751999,2799811,      5630,426,1091,  1206,709.900024414063
14,Costa Rica,Americas,1992,      23,75.712997,3173216,      6160,495,1212,  1484,650.5
14,Costa Rica,Americas,1997,      73,77.260002,3518107,      6677,583,1568,  1636,522.900024414063
14,Costa Rica,Americas,2002,      88,78.123001,3834934,      7723,677,1285,  1851,457.100006103516
14,Costa Rica,Americas,2007,      18,78.781998,4133884,      9645,628,1448,  1927,404.600006103516
15,Croatia,Europe,1982,      28,70.459999,4413368,     13222, , , , 
15,Croatia,Europe,1987,      70,71.519997,4484310,     13823,1019,1935,  4104,871.200012207031
15,Croatia,Europe,1992,      90,72.527,4494013,      8448,869,2251,  6346,820
15,Croatia,Europe,1997,      12,73.68,4444595,      9876,661,2224,  3119,835.799987792969
15,Croatia,Europe,2002,      51,74.875999,4481020,     11628,639,2105,  2707,703.200012207031
15,Croatia,Europe,2007,      12,75.748001,4493312,     14619,678,2636,  2953,649.200012207031
16,Cuba,Americas,1982,      92,73.717003,9789224,      7317, ,5669,  6707,693.7
16,Cuba,Americas,1987,      52,74.174004,10239839,      7533, ,6191,  7612,658.099975585938
16,Cuba,Americas,1992,      27,74.414001,10723260,      5593,2296,6711,  8924,667.200012207031
16,Cuba,Americas,1997,      64,76.151001,10983007,      5432,2134,8352,  8547,599.799987792969
16,Cuba,Americas,2002,      64,77.157997,11226999,      6341,1486,7703,  6952,523.599975585938
16,Cuba,Americas,2007,      85,78.273003,11416987,      8948,1001,8797,  6450,513.299987792969
17,Czech Republic,Europe,1982,       7,70.959999,10303704,     15377, , , , 
17,Czech Republic,Europe,1987,      41,71.580002,10311597,     16310,1244,5879,  8487,901.599975585938
17,Czech Republic,Europe,1992,      57,72.400002,10315702,     14297,1715,5093,  8692,832.200012207031
17,Czech Republic,Europe,1997,      84,74.010002,10300707,     16049,1584,4313,  7854,737.599975585938
17,Czech Republic,Europe,2002,      19,75.510002,10256295,     17596,1490,4713,  6838,670.299987792969
17,Czech Republic,Europe,2007,      24,76.486,10228744,     22833,1248,5715,  6131,584
18,Denmark,Europe,1982,      19,74.629997,5117810,     21688, , , , 
18,Denmark,Europe,1987,      99,74.800003,5127024,     25116, , , , 
18,Denmark,Europe,1992,      27,75.330002,5171393,     26407, , , , 
18,Denmark,Europe,1997,      67,76.110001,5283663,     29804,521,5429,  3537,618.299987792969
18,Denmark,Europe,2002,      67,77.18,5374693,     32167,465,5823,  2596,573.099975585938
18,Denmark,Europe,2007,      60,78.332001,5468120,     35278,385,5658,  2503,511.799987792969
19,Dominican Republic,Americas,1982,      93,63.727001,5968349,      2861,548,1742,  2055, 
19,Dominican Republic,Americas,1987,      84,66.045998,6655297,      2900,951,1460,  2718, 
19,Dominican Republic,Americas,1992,      95,68.457001,7351181,      3044,746,1412,  2250, 
19,Dominican Republic,Americas,1997,      54,69.957001,7992357,      3614,1208,1495,  3113, 
19,Dominican Republic,Americas,2002,      87,70.847,8650322,      4564,1393,1532,  3590, 
19,Dominican Republic,Americas,2007,      71,72.235001,9319622,      6025,1248,1940,  3536, 
20,Ecuador,Americas,1982,      38,64.342003,8365850,      7214,1969,7109,  6055,893
20,Ecuador,Americas,1987,      48,67.231003,9545158,      6482,1760,6034,  6169,816
20,Ecuador,Americas,1992,       1,69.612999,10748394,      7104,2184,5609,  7160,711.400024414063
20,Ecuador,Americas,1997,      19,72.311996,11911819,      7429,2040,4758,  7554,598.5
20,Ecuador,Americas,2002,      58,74.172997,12921234,      5773,1972,5259,  7735,547.299987792969
20,Ecuador,Americas,2007,      98,74.994003,13755680,      6873,2667,5024,  8610,495.899993896484
21,Egypt,Africa,1982,      66,56.006001,45681811,      3504, , , , 
21,Egypt,Africa,1987,      74,59.797001,52799062,      3885,3551,68983, 19185,1111.09997558594
21,Egypt,Africa,1992,      29,63.674,59402198,      3795, ,46568, 16077,872.5
21,Egypt,Africa,1997,      37,67.217003,66134291,      4173, , , , 
21,Egypt,Africa,2002,      66,69.806,73312559,      4755,6299,30522, 17778,862.099975585938
21,Egypt,Africa,2007,       4,71.337997,80264543,      5581,6628,32191, 17569,1901.5
22,El Salvador,Americas,1982,      81,56.604,4474873,      4098,704,1685,  8350,961.3
22,El Salvador,Americas,1987,      56,63.153999,4842194,      4140, , , , 
22,El Salvador,Americas,1992,      60,66.797997,5274649,      4444,1075,1616,  5164,862.200012207031
22,El Salvador,Americas,1997,      76,69.535004,5783439,      5155,1426,2624,  5086,733.599975585938
22,El Salvador,Americas,2002,      11,70.734001,6353681,      5352,1599,2281,  4683,623.799987792969
22,El Salvador,Americas,2007,      38,71.877998,6939688,      5728,1546,2556,  6082,628.099975585938
23,Finland,Europe,1982,      75,74.550003,4826933,     18533, , , , 
23,Finland,Europe,1987,      95,74.830002,4931729,     21141,720,3179,  4236,679.099975585938
23,Finland,Europe,1992,      44,75.699997,5041039,     20647,766,3638,  4537,636.5
23,Finland,Europe,1997,      71,77.129997,5134406,     23724,561,3999,  4280,568.400024414063
23,Finland,Europe,2002,      58,78.370003,5193039,     28205,531,3865,  4077,515.799987792969
23,Finland,Europe,2007,       5,79.313004,5238460,     33207,467,2233,  4245,461
24,France,Europe,1982,      53,74.889999,54433565,     20294,11334,32191, 50534,635.3
24,France,Europe,1987,      36,76.339996,55630100,     22066,9756,32446, 46677,568.799987792969
24,France,Europe,1992,      48,77.459999,57374179,     24704,9196,37772, 46531,516.799987792969
24,France,Europe,1997,      98,78.639999,58623428,     25890,7904,43319, 43388,475.5
24,France,Europe,2002,      68,79.589996,59925035,     28926,7332,33607, 40888,463.600006103516
24,France,Europe,2007,      70,80.656998,61083916,     30470,4643,32022, 36645,398.5
25,Germany,Europe,1982,       3,73.800003,78335266,     22032, , , , 
25,Germany,Europe,1987,       1,74.847,77718298,     24639, , , , 
25,Germany,Europe,1992,      78,76.07,80597764,     26505,11062,50360, 44751,615.099975585938
25,Germany,Europe,1997,      89,77.339996,82011073,     27789,8730,50422, 36801,555.299987792969
25,Germany,Europe,2002,      53,78.669998,82350671,     30036,7089,53646, 34296,502.399993896484
25,Germany,Europe,2007,      20,79.405998,82400996,     32170,5170,57956, 30650,444.299987792969
26,Greece,Europe,1982,      68,75.239998,9786480,     15268,2012,5386,  4828,615.3
26,Greece,Europe,1987,      44,76.669998,9974490,     16121,1922,4988,  5403,613.099975585938
26,Greece,Europe,1992,      41,77.029999,10325429,     17541,2280,6162,  4036,567.900024414063
26,Greece,Europe,1997,      50,77.869003,10502372,     18748,2408,5570,  4422,532.400024414063
26,Greece,Europe,2002,      27,78.255997,10603863,     22514,1865,7650,  3993,510.100006103516
26,Greece,Europe,2007,       6,79.483002,10706290,     27538,1793,10229,  4143,473.899993896484
27,Guatemala,Americas,1982,      56,58.137001,6395630,      4820, , , , 
27,Guatemala,Americas,1987,      76,60.782001,7326406,      4246,537,9728,  5736,904.400024414062
27,Guatemala,Americas,1992,       6,63.373001,8486949,      4439,476,13343,  7599,1107.90002441406
27,Guatemala,Americas,1997,      72,66.321999,9803875,      4684,526,12207,  8640,902.400024414062
27,Guatemala,Americas,2002,      16,68.977997,11178650,      4858,357,11310,  8885,792.599975585938
27,Guatemala,Americas,2007,      41,70.259003,12572928,      5186,419,9629, 11589,730.200012207031
28,Haiti,Americas,1982,      97,51.460999,5198399,      2011, , , , 
28,Haiti,Americas,1987,      72,53.636002,5756203,      1823, , , , 
28,Haiti,Americas,1992,      36,55.089001,6326682,      1456, , , , 
28,Haiti,Americas,1997,      60,56.671001,6913545,      1342,6,284,    37, 
28,Haiti,Americas,2002,      66,58.137001,7607651,      1270,103,353,   506, 
28,Haiti,Americas,2007,      33,60.916,8502814,      1202, , , , 
29,Honduras,Americas,1982,      44,60.909,3669448,      3122, , , , 
29,Honduras,Americas,1987,      53,64.491997,4372203,      3023,310,1033,  1916, 
29,Honduras,Americas,1992,       3,66.399002,5077347,      3082, , , , 
29,Honduras,Americas,1997,      50,67.658997,5867957,      3160, , , , 
29,Honduras,Americas,2002,       4,68.565002,6677328,      3100, , , , 
29,Honduras,Americas,2007,       3,70.197998,7483763,      3548, , , , 
30,Hungary,Europe,1982,       4,69.389999,10705535,     12546,2088,7825, 12281,995.5
30,Hungary,Europe,1987,      89,69.580002,10612740,     12986,2024,6335, 12828,960.200012207031
30,Hungary,Europe,1992,      66,69.169998,10348684,     10536,2663,6951, 13088,996.599975585938
30,Hungary,Europe,1997,       1,71.040001,10244684,     11713,1724,5850, 10309,887
30,Hungary,Europe,2002,       7,72.589996,10083313,     14844,1748,4701,  9513,797.799987792969
30,Hungary,Europe,2007,       4,73.337997,9956108,     18009,1529,6771,  7438,741.799987792969
31,Iceland,Europe,1982,       0,76.989998,233997,     23270,44,146,   127, 
31,Iceland,Europe,1987,      22,77.230003,244676,     26923,42,195,   122, 
31,Iceland,Europe,1992,      19,78.769997,259012,     25144,32,238,   106, 
31,Iceland,Europe,1997,      95,78.949997,271192,     28061,26,185,   104, 
31,Iceland,Europe,2002,      67,80.5,288030,     31163,32,144,   112, 
31,Iceland,Europe,2007,      56,81.757004,301931,     36181,18,157,   119, 
32,Iraq,Asia,1982,      57,62.037998,14173318,     14518, , , , 
32,Iraq,Asia,1987,      10,65.043999,16543189,     11644, , , , 
32,Iraq,Asia,1992,      21,59.460999,17861905,      3746, , , , 
32,Iraq,Asia,1997,      93,58.811001,20775703,      3076, , , , 
32,Iraq,Asia,2002,      82,57.046001,24001816,      4391, , , , 
32,Iraq,Asia,2007,      83,59.544998,27499638,      4471, , , , 
33,Ireland,Europe,1982,      61,73.099998,3480000,     12618,583,4231,  1629,809
33,Ireland,Europe,1987,      34,74.360001,3539900,     13873,482,3966,  1462,733.799987792969
33,Ireland,Europe,1992,      94,75.467003,3557761,     17559,420,4105,  1329,671.599975585938
33,Ireland,Europe,1997,      24,76.122002,3667233,     24522,450,4855,  1485,640.599975585938
33,Ireland,Europe,2002,      83,77.782997,3879155,     34077,379,4344,  1603,551.799987792969
33,Ireland,Europe,2007,      27,78.885002,4109086,     40676,305,3324,  1759,463.200012207031
34,Israel,Asia,1982,      10,74.449997,3858421,     15367,402,2155,  1218,729.2
34,Israel,Asia,1987,      14,75.599998,4203148,     17122,481,1987,  2035,655.700012207031
34,Israel,Asia,1992,      38,76.93,4936550,     18052,333,2219,  1932,598.099975585938
34,Israel,Asia,1997,      25,78.268997,5531387,     20897,532,2575,  1857,519.599975585938
34,Israel,Asia,2002,      25,79.695999,6029529,     21906,564,2666,  2435,472.799987792969
34,Israel,Asia,2007,      91,80.745003,6426679,     25523,437,3272,  1898,425
35,Italy,Europe,1982,      53,74.980003,56535636,     16537,10378,34335, 28826,675.9
35,Italy,Europe,1987,      43,76.419998,56729703,     19207,9361,33932, 28256,599.799987792969
35,Italy,Europe,1992,      17,77.440002,56840847,     22014,9846,32499, 29272,553.299987792969
35,Italy,Europe,1997,      93,78.82,57479469,     24675,8059,35455, 28412,495
35,Italy,Europe,2002,       1,80.239998,57926999,     27968,7305,35941, 26693,435.200012207031
35,Italy,Europe,2007,      42,80.545998,58147733,     28570,5831,37812, 24459,388.299987792969
36,Jamaica,Americas,1982,      97,71.209999,2298309,      6068,16,569,   150, 
36,Jamaica,Americas,1987,      44,71.769997,2326606,      6351,82,833,   747,538.700012207031
36,Jamaica,Americas,1992,      87,71.765999,2378618,      7405, , , , 
36,Jamaica,Americas,1997,      75,72.262001,2531311,      7122, , , , 
36,Jamaica,Americas,2002,      78,72.046997,2664659,      6995,26,1006,   339,572
36,Jamaica,Americas,2007,      44,72.567001,2780132,      7321, , , , 
37,Japan,Asia,1982,      19,77.110001,118454974,     19384,13749,59955, 53048,554.5
37,Japan,Asia,1987,      24,78.669998,122091325,     22376,13762,75886, 55671,482.799987792969
37,Japan,Asia,1992,      15,79.360001,124329269,     26825,15828,107434, 58952,457.399993896484
37,Japan,Asia,1997,      71,80.690002,125956499,     28817,13981,123148, 65537,405.5
37,Japan,Asia,2002,      40,82,127065841,     28605,11743,136891, 73327,364
37,Japan,Asia,2007,      82,82.602997,127467972,     31656,8268,168078, 73826,341.399993896484
38,Jordan,Asia,1982,      19,63.738998,2347031,      4161, , , , 
38,Jordan,Asia,1987,      95,65.869003,2820042,      4449, , , , 
38,Jordan,Asia,1992,      87,68.014999,3867409,      3432, , , , 
38,Jordan,Asia,1997,      48,69.772003,4526235,      3645, , , , 
38,Jordan,Asia,2002,      63,71.263,5307470,      3845, , , , 
38,Jordan,Asia,2007,      77,72.535004,6053193,      4519, , , , 
39,Kuwait,Asia,1982,      65,71.308998,1497494,     31354,536,414,   838,893.4
39,Kuwait,Asia,1987,      18,74.174004,1891487,     28118,345,308,   588,706.599975585938
39,Kuwait,Asia,1992,       1,75.190002,1418095,     34933, , , , 
39,Kuwait,Asia,1997,      73,76.155998,1765345,     40301,374,199,   630,789.700012207031
39,Kuwait,Asia,2002,      60,76.903999,2111561,     35110,371,221,   644,544.400024414063
39,Kuwait,Asia,2007,      97,77.587997,2505559,     47307,516,306,   882,461.5
40,Malaysia,Asia,1982,      76,68,14441916,      4920, , , , 
40,Malaysia,Asia,1987,      45,69.5,16331785,      5250, , , , 
40,Malaysia,Asia,1992,      48,70.693001,18319502,      7278, , , , 
40,Malaysia,Asia,1997,      47,71.938004,20476091,     10133,3062,4407,  7138, 
40,Malaysia,Asia,2002,      74,73.043999,22662365,     10207,3469,6403,  7308, 
40,Malaysia,Asia,2007,      54,74.240997,24821286,     12452,4132,8199,  8261, 
41,Mauritius,Africa,1982,      67,66.710999,992040,      3688,15,726,   405,1219.6
41,Mauritius,Africa,1987,      93,68.739998,1042663,      4784,95,555,   503,1008.79998779297
41,Mauritius,Africa,1992,      13,69.745003,1096202,      6058,159,703,   478,906.599975585938
41,Mauritius,Africa,1997,      75,70.736,1149818,      7426,145,627,   469,924.5
41,Mauritius,Africa,2002,      19,71.954002,1200206,      9022,214,670,   524,823
41,Mauritius,Africa,2007,       5,72.801003,1250882,     10957,148,571,   528,749.299987792969
42,Mexico,Americas,1982,      38,67.404999,71640904,      9611,16319,48448, 67481,891.2
42,Mexico,Americas,1987,      30,69.498001,80122492,      8688,12908,40463, 61423,820.599975585938
42,Mexico,Americas,1992,      40,71.455002,88111030,      9472,14564,39584, 60018,777.599975585938
42,Mexico,Americas,1997,      90,73.669998,95895146,      9767,15324,44583, 55956,651
42,Mexico,Americas,2002,       4,74.902,102479927,     10742,14932,39065, 51658,602.5
42,Mexico,Americas,2007,      73,76.195,108700891,     11978,15256,42622, 52762,574.700012207031
43,Mongolia,Asia,1982,      16,57.488998,1756032,      2001, , , , 
43,Mongolia,Asia,1987,      12,60.222,2015133,      2338, , , , 
43,Mongolia,Asia,1992,      67,61.271,2312802,      1785, , , , 
43,Mongolia,Asia,1997,       3,63.625,2494803,      1902, , , , 
43,Mongolia,Asia,2002,      73,65.032997,2674234,      2141, , , , 
43,Mongolia,Asia,2007,      27,66.803001,2874127,      3096, , , , 
44,Montenegro,Europe,1982,      26,74.100998,562548,     11223, , , , 
44,Montenegro,Europe,1987,      14,74.864998,569473,     11733, , , , 
44,Montenegro,Europe,1992,      23,75.434998,621621,      7003, , , , 
44,Montenegro,Europe,1997,      51,75.445,692651,      6466, , , , 
44,Montenegro,Europe,2002,      88,73.981003,720230,      6557,0,243,   238,731.400024414063
44,Montenegro,Europe,2007,       9,74.542999,684736,      9254,79,236,   233,711.700012207031
45,Morocco,Africa,1982,      78,59.650002,20198730,      2703, , , , 
45,Morocco,Africa,1987,      89,62.676998,22987397,      2755, , , , 
45,Morocco,Africa,1992,      65,65.392998,25798239,      2948, , , , 
45,Morocco,Africa,1997,      44,67.660004,28529501,      2982, , , , 
45,Morocco,Africa,2002,      25,69.614998,31167783,      3258, , , , 
45,Morocco,Africa,2007,      84,71.164001,33757175,      3820, , , , 
46,Netherlands,Europe,1982,      69,76.050003,14310401,     21399,1795,7845,  5936,612
46,Netherlands,Europe,1987,      46,76.830002,14665278,     23651,1488,8564,  5454,577.799987792969
46,Netherlands,Europe,1992,      99,77.419998,15174244,     26791,1423,9842,  5424,556.799987792969
46,Netherlands,Europe,1997,      70,78.029999,15604464,     30246,1196,13176,  5149,534.700012207031
46,Netherlands,Europe,2002,       2,78.529999,16122830,     33725,1055,13511,  5318,515.200012207031
46,Netherlands,Europe,2007,      45,79.762001,16570613,     36798,799,13536,  5211,433
47,New Zealand,Oceania,1982,      38,73.839996,3210650,     17632,834,2602,  1880,720.8
47,New Zealand,Oceania,1987,      46,74.32,3317166,     19007,924,2882,  2033,691.799987792969
47,New Zealand,Oceania,1992,      31,76.330002,3437674,     18363,713,2812,  1854,601.700012207031
47,New Zealand,Oceania,1997,      87,77.550003,3676187,     21050,617,2910,  1783,542.200012207031
47,New Zealand,Oceania,2002,      12,79.110001,3908037,     23190,531,2383,  1698,483.5
47,New Zealand,Oceania,2007,      78,80.204002,4115771,     25185,481,2341,  1835,426.100006103516
48,Nicaragua,Americas,1982,      17,59.298,2979423,      3470, , , , 
48,Nicaragua,Americas,1987,      86,62.007999,3344353,      2956, , , , 
48,Nicaragua,Americas,1992,      42,65.843002,4017939,      2170,458,1118,  1843, 
48,Nicaragua,Americas,1997,      24,68.426003,4609572,      2253,381,958,  1971, 
48,Nicaragua,Americas,2002,       3,70.835999,5146848,      2475,465,1060,  2003, 
48,Nicaragua,Americas,2007,       8,72.899002,5675356,      2749,519,1425,  2234, 
49,Norway,Europe,1982,      84,75.970001,4114787,     26299, , , , 
49,Norway,Europe,1987,      28,75.889999,4186147,     31541,577,3887,  2692,609.900024414063
49,Norway,Europe,1992,      81,77.32,4286357,     33966,466,4576,  2442,562.299987792969
49,Norway,Europe,1997,      37,78.32,4405672,     41283,395,4010,  2335,521.599975585938
49,Norway,Europe,2002,      76,79.050003,4535591,     44684,384,4669,  2287,487.799987792969
49,Norway,Europe,2007,      83,80.195999,4627926,     49357,271,4242,  2386,423.899993896484
50,Oman,Asia,1982,      69,62.728001,1301048,     12955, , , , 
50,Oman,Asia,1987,      14,67.734001,1593882,     18115, , , , 
50,Oman,Asia,1992,      32,71.196999,1915208,     18617, , , , 
50,Oman,Asia,1997,      72,72.499001,2283635,     19702, , , , 
50,Oman,Asia,2002,      44,74.193001,2713462,     19775, , , , 
50,Oman,Asia,2007,      38,75.639999,3204897,     22316, , , , 
51,Panama,Americas,1982,      68,70.472,2036305,      7010,394,679,  1013,585.8
51,Panama,Americas,1987,      75,71.523003,2253639,      7035,402,853,  1157,616
51,Panama,Americas,1992,      17,72.461998,2484997,      6619, , , , 
51,Panama,Americas,1997,      76,73.737999,2734531,      7114,540,1036,  1548,558.400024414063
51,Panama,Americas,2002,      82,74.711998,2990875,      7356,448,978,  1434,487.5
51,Panama,Americas,2007,      31,75.537003,3242173,      9809,453,1411,  1615,484.100006103516
52,Paraguay,Americas,1982,      59,66.874001,3366439,      4259,225,858,   876,518.9
52,Paraguay,Americas,1987,      17,67.377998,3886512,      3999,242,978,   936,479.299987792969
52,Paraguay,Americas,1992,      60,68.224998,4483945,      4196, , , , 
52,Paraguay,Americas,1997,      20,69.400002,5154123,      4247,514,1192,  1945,536.5
52,Paraguay,Americas,2002,       9,70.754997,5884491,      3784,381,1164,  2105,521.200012207031
52,Paraguay,Americas,2007,      26,71.751999,6667147,      4173,886,1412,  2544,545.099975585938
53,Peru,Americas,1982,      85,61.405998,18125129,      6435, ,17841,  5557, 
53,Peru,Americas,1987,      99,64.134003,20195924,      6361,990,9180,  5669, 
53,Peru,Americas,1992,      81,66.458,22430449,      4446,1344,9552,  7261, 
53,Peru,Americas,1997,       8,68.386002,24748122,      5838,1882,11327,  9281, 
53,Peru,Americas,2002,      16,69.905998,26769436,      5909,1528,14030,  7394, 
53,Peru,Americas,2007,      11,71.420998,28674757,      7409,2220,15549,  9782, 
54,Philippines,Asia,1982,      19,62.082001,53456774,      2603, , , , 
54,Philippines,Asia,1987,      97,64.151001,60017788,      2190, , , , 
54,Philippines,Asia,1992,      85,66.458,67185766,      2279,3327,59373, 25880,933.400024414062
54,Philippines,Asia,1997,      26,68.564003,75012988,      2537,5409,53276, 29375,935.900024414062
54,Philippines,Asia,2002,      38,70.303001,82995088,      2651,6131,56413, 33617,988.900024414062
54,Philippines,Asia,2007,      82,71.688004,91077287,      3190,7305,60381, 34382,946.900024414062
55,Poland,Europe,1982,      92,71.32,36227381,      8452, ,17480, 24457,844.5
55,Poland,Europe,1987,      57,70.980003,37740710,      9082,6486,18030, 25559,890
55,Poland,Europe,1992,      26,70.989998,38370697,      7739,8452,13292, 30020,869.599975585938
55,Poland,Europe,1997,      90,72.75,38654957,     10160, , , , 
